Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,4G,Latitud,Longitud
BUENOS AIRES,Tapalqué,Velloso,127,--,--,--,--,--,--,--,--,-361215309084723.0,-596527146246682.0
BUENOS AIRES,Tigre,Benavídez,42781,SI,SI,--,SI,SI,SI,SI,SI,-344104347356392.0,-586887919689512.0
BUENOS AIRES,Tigre,Dique Luján,3351,SI,SI,--,SI,--,SI,SI,SI,-343717750147952.0,-586917925096496.0
CABA,COMUNA 10,FLORESTA,37575,SI,SI,SI,SI,SI,SI,SI,SI,-346276862905939.0,-584835872783595.0
CHUBUT,Futaleufú,Los Cipreses,179,--,--,--,--,SI,--,SI,--,-431847146210617.0,-716413919295155.0
CHUBUT,Futaleufú,Trevelín,6353,SI,--,SI,--,SI,SI,SI,SI,-430908711905976.0,-714654853699539.0
CHUBUT,Futaleufú,Villa Futalaufquen,28,--,--,--,--,SI,--,SI,--,-429006375858067.0,-716061535113717.0
CHUBUT,Gaiman,28 de Julio,237,--,--,--,SI,SI,--,--,SI,-433809771295585.0,-658386877428492.0
CHUBUT,Gaiman,Dique Florentino Ameghino,156,--,--,--,--,--,--,SI,--,-437032847513538.0,-66479400323535.0
CHUBUT,Gaiman,Dolavon,2887,--,--,SI,SI,SI,--,SI,SI,-43309297578868.0,-657087388385691.0
BUENOS AIRES,San Isidro,Martínez,66169,SI,SI,SI,SI,SI,SI,SI,SI,-344944230772436.0,-585105732755943.0
BUENOS AIRES,San Isidro,San Isidro,45403,SI,SI,SI,SI,SI,SI,SI,SI,-344770412162141.0,-5852719519996.0
BUENOS AIRES,San Isidro,Villa Adelina,35473,SI,SI,--,SI,--,--,SI,SI,-345151197673508.0,-585457579220177.0
BUENOS AIRES,San Miguel,Bella Vista,74138,SI,SI,SI,SI,SI,SI,SI,SI,-345751401519414.0,-586960409885544.0
BUENOS AIRES,San Miguel,Campo De Mayo,1525,--,--,--,--,SI,--,--,SI,-345346818189868.0,-586513860167431.0
BUENOS AIRES,San Miguel,Muñiz,28615,SI,SI,SI,SI,--,--,SI,SI,-345557351629874.0,-587080227572424.0
CORDOBA,Cruz del Eje,Canteras Quilpo,216,--,--,--,--,--,SI,SI,--,-308666932853441.0,-646829010647536.0
CORDOBA,Cruz del Eje,Cruz de Caña,130,--,--,--,--,--,SI,--,--,-310662466251544.0,-649425321672363.0
BUENOS AIRES,Berisso,Berisso,87698,SI,SI,SI,SI,--,SI,SI,SI,-348746353679645.0,-578947472316799.0
BUENOS AIRES,Berisso,Los Talas,0,--,--,--,--,--,--,--,--,-349190209219847.0,-577909954962894.0
BUENOS AIRES,Berisso,Villa Arguello,0,--,--,--,SI,--,SI,--,SI,-349053981881099.0,-579180815078165.0
BUENOS AIRES,Berisso,Villa Dolores,0,--,--,--,--,--,--,--,SI,-348802085383888.0,-578663036732616.0
BUENOS AIRES,Berisso,Villa Independencia,0,--,--,--,--,--,--,--,--,-348829519743895.0,-578614892695719.0
BUENOS AIRES,Berisso,Villa Nueva,0,--,--,--,SI,--,SI,--,SI,-348957079362353.0,-579108816644737.0
