Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,Pilar,Los Cachorros,0,3002,0,0,0,0,0,0,3002
BUENOS AIRES,Pilar,Manzanares,0,166,0,3,0,0,0,3,172
BUENOS AIRES,Pilar,Maquinista F. Savio (oeste),0,0,0,0,0,0,0,54,54
BUENOS AIRES,Pilar,OTROS,0,1,0,5,0,0,0,268,274
BUENOS AIRES,Pilar,Pilar,2977,26119,35,8989,663,4,90,629,39506
BUENOS AIRES,Pilar,Presidente Derqui,1565,5538,0,83,0,0,0,604,7790
BUENOS AIRES,Pilar,Santa Teresa,0,0,0,0,0,2,0,0,2
BUENOS AIRES,Pilar,Tortuguitas,0,0,0,2,0,2,0,3,7
BUENOS AIRES,Pilar,Villa Astolfi,0,1387,0,1,0,0,0,9,1397
BUENOS AIRES,Pilar,Villa Rosa,613,7191,3,197,0,0,360,441,8805
BUENOS AIRES,Pilar,Zelaya,30,6,0,0,2,0,0,5,43
BUENOS AIRES,Pilar,Manuel Alberti,0,1847,0,514,0,0,0,0,2361
BUENOS AIRES,Pinamar,Pinamar,12458,2578,0,10867,1000,3,0,0,26906
BUENOS AIRES,Pinamar,Carilo,0,1510,0,0,0,0,0,0,1510
BUENOS AIRES,Pinamar,Ostende,0,246,0,0,0,0,0,0,246
BUENOS AIRES,Pinamar,Valeria del Mar,0,3,0,0,0,0,0,0,3
BUENOS AIRES,Presidente Perón,Guernica,77,13644,8,6236,8,0,0,113,20086
BUENOS AIRES,Puán,Bordenave,0,0,0,54,0,1,0,349,404
BUENOS AIRES,Puán,Darregueira,238,946,1,1110,0,0,0,87,2382
BUENOS AIRES,Puán,Puán,0,2001,0,1,0,1,0,75,2078
BUENOS AIRES,Puán,Villa Iris,0,0,0,425,24,0,0,356,805
BUENOS AIRES,Puán,San Germán,0,0,0,0,0,0,0,49,49
BUENOS AIRES,Punta Indio,Pipinas,0,114,0,0,0,0,0,0,114
BUENOS AIRES,Punta Indio,Verónica,227,816,0,6,0,0,0,0,1049
BUENOS AIRES,Punta Indio,Punta Indio,0,0,0,0,0,0,0,115,115
BUENOS AIRES,Quilmes,Bernal,135,20997,69,9487,75,1,0,0,30764
BUENOS AIRES,Quilmes,Bernal Oeste,71,3710,3,1790,28,0,0,0,5602
BUENOS AIRES,Quilmes,Don Bosco,0,3011,0,4,1,0,0,0,3016
BUENOS AIRES,Quilmes,Ezpeleta,112,13506,8,2550,16,0,0,319,16511
BUENOS AIRES,Quilmes,Ezpeleta Oeste,48,1506,8,3924,16,0,0,0,5502
BUENOS AIRES,Quilmes,Quilmes,88,48607,78,12329,172,2,0,141,61417
BUENOS AIRES,Quilmes,Quilmes Oeste,113,7693,48,13726,40,0,0,2,21622
BUENOS AIRES,Quilmes,San Francisco Solano,1,11218,0,37,30,0,0,114,11400
BUENOS AIRES,Quilmes,Villa La Florida,22,5100,5,6909,0,0,0,114,12150
BUENOS AIRES,Ramallo,EL PARAÍSO,0,0,0,0,30,0,0,0,30
BUENOS AIRES,Ramallo,OTROS,0,0,0,0,10,0,0,0,10
BUENOS AIRES,Ramallo,Pérez Millán,0,0,0,1,0,0,0,0,1
BUENOS AIRES,Ramallo,RAMALLO,411,1128,0,1,1177,1,0,2,2720
